state,district,pvi,result,unopposed,swing,adj_swing,swing_string,adj_swing_string
GA,10,15,25.78393644606669,FALSE,10.78393644606669,19.038347819577766,R+11,R+19
GA,11,17,23.58279126682553,FALSE,6.582791266825531,14.837202640336606,R+7,R+15
GA,12,9,18.95612182570892,FALSE,9.95612182570892,18.210533199219995,R+10,R+18
GA,13,-20,-52.36875975105576,FALSE,-32.36875975105576,-24.114348377544687,D+32,D+24
GA,14,27,53.003604325190224,FALSE,26.003604325190224,34.2580156987013,R+26,R+34
HI,1,-17,-50.02524279223282,FALSE,-33.02524279223282,-24.77083141872174,D+33,D+25
HI,2,-19,-54.7246379737635,FALSE,-35.7246379737635,-27.470226600252424,D+36,D+27
ID,1,21,31.992039838892435,FALSE,10.992039838892435,19.24645121240351,R+11,R+19
ID,2,17,21.340435766332334,FALSE,4.340435766332334,12.59484713984341,R+4,R+13
IL,1,-27,-53.74488628652307,FALSE,-26.74488628652307,-18.490474913011994,D+27,D+18
IL,2,-29,-62.111106860332164,FALSE,-33.111106860332164,-24.85669548682109,D+33,D+25
IL,3,-6,-47.09000868654123,FALSE,-41.09000868654123,-32.835597313030156,D+41,D+33
IL,4,-33,-73.17030609727479,FALSE,-40.17030609727479,-31.915894723763714,D+40,D+32
IL,5,-20,-53.329082043914866,FALSE,-33.329082043914866,-25.07467067040379,D+33,D+25
IL,6,2,-7.150510705477316,FALSE,-9.150510705477316,-0.8960993319662407,D+9,D+1
IL,7,-38,-75.2301588268499,FALSE,-37.2301588268499,-28.975747453338826,D+37,D+29
IL,8,-8,-31.94945390535036,FALSE,-23.94945390535036,-15.695042531839285,D+24,D+16
IL,9,-18,-46.97245747388505,FALSE,-28.97245747388505,-20.718046100373975,D+29,D+21
IL,10,-10,-31.180236650688833,FALSE,-21.180236650688833,-12.925825277177758,D+21,D+13
IL,11,-9,-27.68160165082432,FALSE,-18.68160165082432,-10.427190277313244,D+19,D+10
IL,12,5,6.178716310511078,FALSE,1.1787163105110778,9.433127684022153,R+1,R+9
IL,13,3,0.7594628405681618,FALSE,-2.240537159431838,6.013874214079237,D+2,R+6
IL,14,5,-5.003718047503526,FALSE,-10.003718047503526,-1.74930667399245,D+10,D+2
IL,15,21,41.85510625645519,FALSE,20.855106256455187,29.109517629966263,R+21,R+29
IL,16,8,18.24880289260237,FALSE,10.24880289260237,18.503214266113446,R+10,R+19
IL,17,-3,-24.18682997532089,FALSE,-21.18682997532089,-12.932418601809815,D+21,D+13
IL,18,15,34.466890632881864,FALSE,19.466890632881864,27.72130200639294,R+19,R+28
IN,1,-8,-30.18527052432823,FALSE,-22.18527052432823,-13.930859150817156,D+22,D+14
IN,2,11,9.671063266474142,FALSE,-1.3289367335258575,6.925474639985218,D+1,R+7
IN,3,18,29.45258759372316,FALSE,11.452587593723159,19.706998967234234,R+11,R+20
IN,4,17,28.12005090787067,FALSE,11.12005090787067,19.374462281381746,R+11,R+19
